epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7875,0.62728,2.61549,1.01967,0.00333,1,0.995,0.94043,0.32696,2.79596,0.81697,0.00012,0.00012,0.00012
2,53.6662,0.46527,1.43534,0.86983,1,0.95104,0.995,0.95199,0.35839,2.26677,0.79826,0.000254852,0.000254852,0.000254852
3,68.8033,0.47185,1.05239,0.87292,1,0.99778,0.995,0.9278,0.39072,1.96148,0.82073,0.00038416,0.00038416,0.00038416
4,81.5866,0.55178,0.98025,0.89934,1,0.9725,0.995,0.91621,0.46393,2.29221,0.86191,0.000507924,0.000507924,0.000507924
5,97.3385,0.49144,1.00411,0.88902,1,0.93018,0.995,0.9111,0.43625,2.2279,0.84282,0.000626144,0.000626144,0.000626144
6,112.802,0.53138,1.00647,0.94005,1,0.93605,0.995,0.91255,0.44217,2.2622,0.8345,0.00073882,0.00073882,0.00073882
7,126.734,0.51043,0.91531,0.88869,0.99474,1,0.995,0.89539,0.47843,2.19112,0.856,0.000845952,0.000845952,0.000845952
8,150.299,0.54411,1.07618,0.9136,0.97401,1,0.995,0.93115,0.37263,2.18851,0.81229,0.00094754,0.00094754,0.00094754
9,164.182,0.48522,0.9471,0.85582,0.99156,1,0.995,0.92135,0.39113,1.86202,0.81596,0.00104358,0.00104358,0.00104358
10,177.186,0.58616,0.96565,0.92861,0.99504,1,0.995,0.91506,0.39217,1.48772,0.80855,0.00113408,0.00113408,0.00113408
11,190.13,0.48257,0.81634,0.82729,0.99464,1,0.995,0.90403,0.4283,1.59727,0.8174,0.00121904,0.00121904,0.00121904
12,202.992,0.53175,0.88075,0.89375,0.99597,1,0.995,0.87526,0.55999,1.69657,0.86756,0.00129845,0.00129845,0.00129845
13,215.566,0.53884,0.8498,0.89528,0.99583,1,0.995,0.92107,0.41617,1.31754,0.80775,0.00137232,0.00137232,0.00137232
14,228.792,0.57356,0.83824,0.91636,0.99583,1,0.995,0.92107,0.41617,1.31754,0.80775,0.00144064,0.00144064,0.00144064
15,241.907,0.474,0.843,0.88701,0.99644,1,0.995,0.9075,0.44154,1.07432,0.81315,0.0014456,0.0014456,0.0014456
16,255.431,0.4936,0.86089,0.90709,0.9946,1,0.995,0.92407,0.42161,1.05996,0.81831,0.001406,0.001406,0.001406
17,276.97,0.52052,0.79487,0.87897,0.99645,1,0.995,0.87487,0.49634,1.08316,0.84393,0.0013664,0.0013664,0.0013664
18,330.376,0.56594,0.83393,0.89529,0.99643,1,0.995,0.87584,0.51497,1.01474,0.8594,0.0013268,0.0013268,0.0013268
19,355.028,0.49488,0.72373,0.86884,0.99666,1,0.995,0.9067,0.42464,0.88308,0.81999,0.0012872,0.0012872,0.0012872
20,371.789,0.49658,0.72858,0.88208,0.99611,1,0.995,0.91298,0.39751,0.90354,0.80698,0.0012476,0.0012476,0.0012476
21,387.326,0.46578,0.71783,0.89528,0.99447,1,0.995,0.89891,0.38523,0.97118,0.80822,0.001208,0.001208,0.001208
22,410.004,0.49188,0.69346,0.87474,0.99447,1,0.995,0.89891,0.38523,0.97118,0.80822,0.0011684,0.0011684,0.0011684
23,427.471,0.4465,0.67577,0.88698,0.99405,1,0.995,0.9264,0.34825,0.82442,0.79102,0.0011288,0.0011288,0.0011288
24,442.05,0.46456,0.68702,0.88535,0.99638,1,0.995,0.93124,0.37847,0.76613,0.80424,0.0010892,0.0010892,0.0010892
25,455.211,0.44525,0.70636,0.91139,0.99641,1,0.995,0.92334,0.3766,0.75911,0.80504,0.0010496,0.0010496,0.0010496
